08:00:32:  自动播放
13:19:27:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:19:37:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:19:47:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:19:52:  注册 | 币安 - Google Chrome
13:20:02:  https://accounts.binancezh.pro/cn/verification-register/email?email=2147693%40yopmail.com - Google Chrome
13:20:07:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:20:22:  https://accounts.binancezh.pro/cn/verification-register/email?email=2147693%40yopmail.com - Google Chrome
13:20:32:  新建文件夹 (3)
13:20:37:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:20:47:  Python 3.7.3 Shell
13:20:52:  注册.txt - 记事本
13:20:57:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:21:12:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:21:17:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:21:22:  注册 | 币安 - Google Chrome
13:22:07:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:22:12:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:22:32:  *Python 3.7.3 Shell*
13:22:37:  注册 | 币安 - Google Chrome
13:22:52:  Kill?
13:22:57:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:23:02:  注册 | 币安 - Google Chrome
13:23:42:  Python 3.7.3 Shell
13:23:47:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:24:07:  百度一下，你就知道 - Google Chrome
13:24:12:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:24:17:  百度一下，你就知道 - Google Chrome
13:24:22:  selenium 拖动验证无效_百度搜索 - Google Chrome
13:24:27:  (4条消息) 使用selenium模拟登录解决滑块验证问题_锅炉房刘大爷的博客-CSDN博客_selenium 滑块验证 - Google Chrome
13:24:37:  selenium 拖动验证无效_百度搜索 - Google Chrome
13:24:42:  (4条消息) 解决selenium Action模拟拖拽无效_lxlyes的博客-CSDN博客 - Google Chrome
13:24:52:  selenium 拖动验证无效_百度搜索 - Google Chrome
13:24:57:  selenium 拖动验证模拟_百度搜索 - Google Chrome
13:25:02:  (4条消息) 使用selenium模拟登录解决滑块验证问题_锅炉房刘大爷的博客-CSDN博客_selenium 滑块验证 - Google Chrome
13:25:32:  https://www.baidu.com/link?url=VVazZI9VG_JvIp_W6ZOTw2W0nTn4pQ0hk93IEquL8I6baLHgXqaotZrgZ_YDdp3ygNisSr6hHaYyk-MrfJICbVS4mODROnUMrFlJceOum3uCRztw7VxUjDWTnwtaHdM9-h2UuS-sa64AQByZrNBXFpOvG5zDw9cPPIBCxNkh_pL0yHnf3DxoIYXASMy_q_bJ6eNIe7JOFyL_n0vzOFRY0PKSVuaEg5uG0RczrB0XkUs_RIv97pD5l83Tk7Gqd4Dt&wd=&eqid=929527b30001ac3f000000025fbf3c28 - Google Chrome
13:25:37:  selenium 模拟人的行为进行滑块拖动验证轨迹 – 小攀的博客 - Google Chrome
13:25:52:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:26:17:  Python 3.7.3 Shell
13:26:22:  无标题 - Google Chrome
13:26:27:  注册 | 币安 - Google Chrome
13:26:52:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:26:57:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:27:02:  selenium 拖动验证模拟_百度搜索 - Google Chrome
13:27:07:  selenium action.pause(2).move_by_offset_百度搜索 - Google Chrome
13:27:12:  selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:27:17:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:27:32:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:27:37:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:27:57:  Track.c - trunk - Visual Studio Code [管理员]
13:28:52:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:28:57:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:02:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:29:07:  SyntaxError
13:29:12:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:17:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:29:22:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:27:  *Python 3.7.3 Shell*
13:29:32:  Track.c - trunk - Visual Studio Code [管理员]
13:29:37:  注册 | 币安 - Google Chrome
13:28:52:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:28:57:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:02:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:29:07:  SyntaxError
13:29:12:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:17:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:29:22:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:29:27:  *Python 3.7.3 Shell*
13:29:32:  Track.c - trunk - Visual Studio Code [管理员]
13:29:37:  注册 | 币安 - Google Chrome
13:30:07:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:30:17:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:30:22:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:30:27:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:30:57:  *Python 3.7.3 Shell*
13:31:02:  data:, - Google Chrome
13:31:07:  注册 | 币安 - Google Chrome
13:31:12:  Python 3.7.3 Shell
13:31:17:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:31:22:  注册 | 币安 - Google Chrome
13:31:42:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:32:07:  *Python 3.7.3 Shell*
13:32:47:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:33:02:  *Python 3.7.3 Shell*
13:33:07:  https://accounts.binancezh.pro/cn/register - Google Chrome
13:33:12:  注册 | 币安 - Google Chrome
13:33:37:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:33:42:  跳转列表
13:33:47:  *Python 3.7.3 Shell*
13:33:52:  https://accounts.binancezh.pro/cn/register - Google Chrome
13:33:57:  注册 | 币安 - Google Chrome
13:34:32:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:34:37:  跳转列表
13:34:42:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:34:47:  注册 | 币安 - Google Chrome
13:35:12:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:35:17:  *Python 3.7.3 Shell*
13:35:22:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:35:52:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:36:07:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:36:12:  注册 | 币安 - Google Chrome
13:36:37:  *Python 3.7.3 Shell*
13:36:42:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:37:02:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:37:52:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:37:57:  无标题 - Google Chrome
13:38:02:  *Python 3.7.3 Shell*
13:38:12:  注册 | 币安 - Google Chrome
13:38:22:  *Python 3.7.3 Shell*
13:38:27:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:38:32:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:38:52:  selenium action.pause(2).move_by_offset_百度搜索 - Google Chrome
13:38:57:  https://www.baidu.com/link?url=mJ5K57sjdZYOoxg5OEu-69wNycLUBfsT9P41R8yNHZ4kvBjO4Rwjdi_6Cpt0s5CNOmp2UkfotqihCrUnC980rxoVE3vczGOm0avBDqxz5Nm&wd=&eqid=e7cf6d8a000067b5000000025fbf3ca8 - Google Chrome
13:39:02:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:39:32:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:39:47:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:39:52:  data:, - Google Chrome
13:39:57:  注册 | 币安 - Google Chrome
13:40:08:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:40:13:  锁屏状态
13:40:18:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:40:23:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:40:28:  *Python 3.7.3 Shell*
13:40:33:  无标题 - Google Chrome
13:40:38:  注册 | 币安 - Google Chrome
13:40:48:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:40:53:  锁屏状态
13:40:58:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:41:08:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:41:13:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:41:28:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:41:48:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:41:58:  Save Before Run or Check
13:42:03:  锁屏状态
13:42:08:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:42:13:  注册 | 币安 - Google Chrome
13:42:43:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:42:48:  Python 3.7.3 Shell
13:43:23:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:43:33:  Python 3.7.3 Shell
13:43:38:  Save Before Run or Check
13:43:48:  Python 3.7.3 Shell
13:43:53:  Python 3.7.3 Shell (未响应)
13:43:58:  Python 3.7.3 Shell
13:44:03:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:44:08:  data:, - Google Chrome
13:44:13:  注册 | 币安 - Google Chrome
13:44:33:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:44:38:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:44:48:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:44:53:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:45:03:  Save Before Run or Check
13:44:08:  data:, - Google Chrome
13:44:13:  注册 | 币安 - Google Chrome
13:44:33:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:44:38:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:44:48:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:44:53:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:45:03:  Save Before Run or Check
13:45:08:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:45:13:  注册 | 币安 - Google Chrome
13:45:23:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:45:28:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:45:38:  (4条消息) selenium重复执行move by offset时位移值自动累加的问题_van_brilliant的博客-CSDN博客 - Google Chrome
13:46:18:  selenium action.pause(2).move_by_offset_百度搜索 - Google Chrome
13:46:28:  selenium action move_by_offset 累加_百度搜索 - Google Chrome
13:46:33:  (4条消息) ActionChains之move_by_offset的使用方法_lemonlemons的博客-CSDN博客 - Google Chrome
13:46:58:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:47:38:  (4条消息) ActionChains之move_by_offset的使用方法_lemonlemons的博客-CSDN博客 - Google Chrome
13:48:18:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:48:38:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:49:08:  Python 3.7.3 Shell
13:49:13:  data:, - Google Chrome
13:49:18:  注册 | 币安 - Google Chrome
13:49:28:  Python 3.7.3 Shell
13:49:33:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:50:33:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:50:43:  *Python 3.7.3 Shell*
13:50:48:  注册 | 币安 - Google Chrome
13:51:03:  *Python 3.7.3 Shell*
13:51:13:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:51:18:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:51:43:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:51:48:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:51:53:  注册 | 币安 - Google Chrome
13:52:13:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:52:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:52:28:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:52:38:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:52:43:  注册 | 币安 - Google Chrome
13:53:03:  Python 3.7.3 Shell
13:53:08:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:53:33:  selenium action.pause_百度搜索 - Google Chrome
13:53:53:  selenium系列->Actions命令实例整理->pause(waitTime)_weixin_34321977的博客-CSDN博客 - Google Chrome
13:53:58:  (4条消息) selenium系列->Actions命令实例整理->pause(waitTime)_weixin_34321977的博客-CSDN博客 - Google Chrome
13:54:03:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:54:08:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:54:13:  Save Before Run or Check
13:54:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:54:28:  注册 | 币安 - Google Chrome
13:54:43:  *Python 3.7.3 Shell*
13:54:53:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:54:58:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:55:03:  *Python 3.7.3 Shell*
13:55:13:  注册 | 币安 - Google Chrome
13:55:23:  *Python 3.7.3 Shell*
13:55:28:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
13:55:33:  selenium 模拟人的行为进行滑块拖动验证轨迹 – 小攀的博客 - Google Chrome
13:55:58:  锁屏状态
13:56:03:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:56:08:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:56:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:56:28:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:56:33:  锁屏状态
13:56:38:  无标题 - Google Chrome
13:56:43:  注册 | 币安 - Google Chrome
13:57:18:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:57:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:57:33:  selenium action.pause_百度搜索 - Google Chrome
13:57:38:  selenium reset_actions()_百度搜索 - Google Chrome
13:57:43:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:57:48:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:58:33:  Save Before Run or Check
13:58:38:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:58:43:  注册 | 币安 - Google Chrome
13:59:13:  selenium 模拟人的行为进行滑块拖动验证轨迹 – 小攀的博客 - Google Chrome
13:59:18:  锁屏状态
13:59:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:59:28:  *Python 3.7.3 Shell*
13:59:33:  注册 | 币安 - Google Chrome
13:58:33:  Save Before Run or Check
13:58:38:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:58:43:  注册 | 币安 - Google Chrome
13:59:13:  selenium 模拟人的行为进行滑块拖动验证轨迹 – 小攀的博客 - Google Chrome
13:59:18:  锁屏状态
13:59:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:59:28:  *Python 3.7.3 Shell*
13:59:33:  注册 | 币安 - Google Chrome
14:00:13:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:00:18:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:00:43:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:00:48:  data:, - Google Chrome
14:00:53:  注册 | 币安 - Google Chrome
14:01:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:01:33:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:02:43:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:02:48:  注册 | 币安 - Google Chrome
14:03:48:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:03:53:  data:, - Google Chrome
14:03:58:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
14:04:03:  YOPmail - Google Chrome
14:04:18:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:04:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:04:28:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:04:58:  新建文件夹 (3)
14:05:03:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:05:18:  Save Before Run or Check
14:05:23:  无标题 - Google Chrome
14:05:28:  *Python 3.7.3 Shell*
14:05:58:  注册 | 币安 - Google Chrome
14:06:13:  *Python 3.7.3 Shell*
14:06:23:  front.jpg - Windows 照片查看器
14:06:28:  新建文件夹 (3)
14:06:43:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
14:07:18:  桌面
14:07:23:  本地磁盘 (F:)
14:07:28:  小程序
14:07:33:  新建文件夹 (3)
14:07:43:  F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (44) - Sublime Text (UNREGISTERED)
14:09:03:  F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py • (44) - Sublime Text (UNREGISTERED)
14:09:58:  F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (44) - Sublime Text (UNREGISTERED)
14:10:03:  新建文件夹 (3)
14:10:08:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:10:13:  *Python 3.7.3 Shell*
14:10:18:  注册 | 币安 - Google Chrome
14:10:23:  *Python 3.7.3 Shell*
14:10:33:  Kill?
14:10:38:  *Python 3.7.3 Shell*
14:10:48:  data:, - Google Chrome
14:11:03:  bg.jpg - Windows 照片查看器
14:11:08:  front.jpg - Windows 照片查看器
14:11:18:  新建文件夹 (3)
14:11:23:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
14:11:28:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:11:38:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
14:11:43:  Track.c - trunk - Visual Studio Code [管理员]
14:12:08:  F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (44) - Sublime Text (UNREGISTERED)
14:12:43:  Track.c - trunk - Visual Studio Code [管理员]
14:16:03:  CRS调测工具（研发版）V1.0.2.1
14:16:13:  Track.c - trunk - Visual Studio Code [管理员]
14:16:23:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:16:28:  *Python 3.7.3 Shell*
14:16:33:  https://accounts.binancezh.pro/cn/register - Google Chrome
14:16:38:  注册 | 币安 - Google Chrome
14:16:48:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:17:13:  无标题 - Google Chrome
14:17:18:  注册 | 币安 - Google Chrome
14:17:33:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:17:38:  Save Before Run or Check
14:17:43:  data:, - Google Chrome
14:17:48:  注册 | 币安 - Google Chrome
14:17:58:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:18:03:  Save Before Run or Check
14:18:08:  data:, - Google Chrome
14:18:13:  注册 | 币安 - Google Chrome
14:18:58:  *Python 3.7.3 Shell*
14:19:03:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:19:53:  *Python 3.7.3 Shell*
14:19:58:  库
14:20:03:  注册 | 币安 - Google Chrome
14:20:28:  本地磁盘 (F:)
14:20:33:  新建文件夹 (3)
14:20:38:  front.jpg - Windows 照片查看器
14:20:48:  bg.jpg - Windows 照片查看器
14:20:53:  front.jpg - Windows 照片查看器
14:21:03:  Python 3.7.3 Shell
14:21:08:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:21:13:  Python 3.7.3 Shell
14:21:18:  data:, - Google Chrome
14:21:23:  注册 | 币安 - Google Chrome
14:21:28:  库
14:21:33:  小程序
14:21:38:  bg.jpg - Windows 照片查看器
14:21:43:  front.jpg - Windows 照片查看器
14:21:48:  新建文件夹 (3)
14:21:53:  Kill?
14:21:58:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:22:08:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:22:18:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:22:23:  注册 | 币安 - Google Chrome
14:22:33:  *Python 3.7.3 Shell*
14:22:43:  注册 | 币安 - Google Chrome
14:22:53:  *Python 3.7.3 Shell*
14:23:13:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:23:18:  CRS调测工具（研发版）V1.0.2.1
14:23:33:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:23:43:  CRS调测工具（研发版）V1.0.2.1
14:23:48:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:23:58:  CRS调测工具（研发版）V1.0.2.1
14:24:18:  log
14:24:23:  删除多个项目
14:24:28:  20201126
14:24:38:  K64_12345678_20201126142328.log - [No filter file]* - TextAnalysisTool.NET
14:24:48:  打开
14:24:53:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:25:08:  计算机
14:25:13:  weibopinglun
14:25:18:  front.jpg - Windows 照片查看器
14:25:23:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:25:48:  Save Before Run or Check
14:25:53:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:25:58:  注册 | 币安 - Google Chrome
14:26:23:  *Python 3.7.3 Shell*
14:26:28:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:26:33:  data:, - Google Chrome
14:26:38:  注册 | 币安 - Google Chrome
14:26:43:  *Python 3.7.3 Shell*
14:26:48:  注册 | 币安 - Google Chrome
14:27:03:  data:, - Google Chrome
14:27:08:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
14:27:13:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
14:27:18:  *Python 3.7.3 Shell*
14:27:23:  data:, - Google Chrome
14:27:28:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
14:27:53:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:28:18:  K64_12345678_20201126142328.log - [No filter file]* - TextAnalysisTool.NET
14:28:23:  计算机
14:28:28:  Track.c - trunk - Visual Studio Code [管理员]
14:28:33:  weiboping.py - trunk - Visual Studio Code [管理员]
14:28:38:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
14:28:53:  TCRControlCmdDLL
14:28:58:  Decode
14:29:03:  K64_12345678_20201126142637.log - [No filter file]* - TextAnalysisTool.NET
14:29:13:  CRS调测工具（研发版）V1.0.2.1
14:29:33:  K64_12345678_20201126142637.log - [No filter file]* - TextAnalysisTool.NET
14:29:38:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
