08:08:49:  新建文本文档.exe - 快捷方式
15:28:53:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
15:29:08:  新标签页 - Google Chrome
15:29:13:  班车管理系统 - Google Chrome
15:29:18:  班车管理系统 [新北洋集团] - Google Chrome
15:29:23:  dist
15:29:28:  程明昌
15:29:43:  TCR调测工具 V3.07
15:29:58:  eSpace
15:28:08:  PostWork 属性
15:28:13:  dist
15:28:18:  新建文件夹 (2)
15:28:23:  PostWork
15:28:33:  重命名
15:28:38:  PostWork
15:28:43:  config.ini - 记事本
15:28:48:  PostWork
15:28:53:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
15:29:08:  新标签页 - Google Chrome
15:29:13:  班车管理系统 - Google Chrome
15:29:18:  班车管理系统 [新北洋集团] - Google Chrome
15:29:23:  dist
15:29:28:  程明昌
15:29:43:  TCR调测工具 V3.07
15:29:58:  eSpace
15:30:10:  TCR调测工具 V3.07
15:30:15:  TCR调测工具 V3.36
15:30:20:  取款
15:30:25:  TCR调测工具 V3.36
15:30:30:  取款
15:30:35:  TCR调测工具 V3.36
15:31:20:  「开始」菜单
15:31:25:  锁屏状态
15:31:30:  Progress Telerik Fiddler Web Debugger
15:31:35:  新标签页 - Google Chrome
15:31:40:  班车管理系统 - Google Chrome
15:31:45:  班车管理系统 [新北洋集团] - Google Chrome
15:31:50:  Progress Telerik Fiddler Web Debugger
15:31:55:  班车管理系统 [新北洋集团] - Google Chrome
15:32:00:  Progress Telerik Fiddler Web Debugger
15:32:10:  班车管理系统 - Google Chrome
15:32:20:  Progress Telerik Fiddler Web Debugger
15:33:50:  TCR调测工具 V3.36
15:34:05:  文档
15:34:10:  PostWork.py - C:\Users\zhangkaifa\Documents\PostWork.py (3.7.3)
15:34:35:  Progress Telerik Fiddler Web Debugger
15:34:45:  文档
15:34:50:  PostWork.py - C:\Users\zhangkaifa\Documents\PostWork.py (3.7.3)
15:35:10:  文档
15:35:15:  Progress Telerik Fiddler Web Debugger
15:35:25:  班车管理系统 [新北洋集团] - Google Chrome
15:35:30:  Progress Telerik Fiddler Web Debugger
15:36:10:  班车管理系统 [新北洋集团] - Google Chrome
15:36:15:  TCR调测工具 V3.36
15:36:20:  TCR调测工具 V3.07
15:36:25:  记录
15:36:30:  本地磁盘 (D:)
15:36:35:  新建文件夹 (2)
15:36:40:  PostWork
15:36:45:  config.ini - 记事本
15:38:15:  PostWork
15:38:25:  dist
15:38:30:  打开方式
15:38:35:  PostWork
15:38:40:  新建文件夹 (2)
15:38:50:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:39:00:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:39:15:  *Python 3.7.3 Shell*
15:39:20:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:39:25:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:39:30:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:39:35:  Kill?
15:39:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:40:00:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:40:50:  config.ini - 记事本
15:40:55:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:41:25:  TCR调测工具 V3.07
15:41:35:  *Python 3.7.3 Shell*
15:41:50:  Kill?
15:41:55:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:42:00:  记事本
15:42:05:  TCR调测工具 V3.07
15:42:20:  TCR调测工具 V3.36
15:42:25:  取款
15:42:30:  TCR调测工具 V3.36
15:42:35:  *Python 3.7.3 Shell*
15:42:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:43:10:  TCR调测工具 V3.36
15:44:00:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:44:10:  Starting Fiddler...
15:44:15:  提示
15:44:20:  班车管理系统 [新北洋集团] - Google Chrome
15:44:25:  班车管理系统 - Google Chrome
15:44:30:  Progress Telerik Fiddler Web Debugger
15:44:35:  班车管理系统 [新北洋集团] - Google Chrome
15:44:40:  Progress Telerik Fiddler Web Debugger
15:45:35:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:46:20:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:47:15:  TCR调测工具 V3.07
15:47:30:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:47:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:47:45:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:47:50:  *Python 3.7.3 Shell*
15:48:00:  Kill?
15:48:05:  *Python 3.7.3 Shell*
15:48:10:  Kill?
15:48:15:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:48:35:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:49:40:  TCR调测工具 V3.07
15:49:45:  TCR调测工具 V3.36
15:49:50:  取款
15:49:55:  TCR调测工具 V3.36
15:50:10:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:50:30:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:50:35:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:50:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:50:50:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:51:05:  *Python 3.7.3 Shell*
15:51:15:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:51:20:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:51:25:  *Python 3.7.3 Shell*
15:51:50:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:51:55:  *Python 3.7.3 Shell*
15:52:05:  Kill?
15:52:10:  班车管理系统 [新北洋集团] - Google Chrome
15:52:15:  Progress Telerik Fiddler Web Debugger
15:52:20:  班车管理系统 - Google Chrome
15:52:25:  班车管理系统 [新北洋集团] - Google Chrome
15:52:40:  TCR调测工具 V3.07
15:52:45:  Progress Telerik Fiddler Web Debugger
15:53:15:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:53:25:  Progress Telerik Fiddler Web Debugger
15:53:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:53:45:  192.168.28.228:7108/yy_select/yy_dowhere.asp - Google Chrome
15:53:50:  班车管理系统 [新北洋集团] - Google Chrome
15:53:55:  192.168.28.228:7108/yy_select/yy_dowhere.asp - Google Chrome
15:54:00:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:54:05:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:54:10:  Save Before Run or Check
15:54:15:  *Python 3.7.3 Shell*
15:54:20:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:54:25:  Progress Telerik Fiddler Web Debugger
15:54:35:  *Python 3.7.3 Shell*
15:54:40:  Kill?
15:54:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:54:50:  TCR调测工具 V3.07
15:55:00:  设主板序列号
15:55:05:  TCR调测工具 V3.07
15:55:15:  设主板序列号
15:55:25:  TCR调测工具 V3.07
15:55:40:  设主板序列号
15:55:45:  TCR调测工具 V3.07
15:56:00:  设主板序列号
15:56:05:  TCR调测工具 V3.07
15:56:10:  TCR调测工具 V3.36
15:56:15:  设主板序列号
15:56:20:  TCR调测工具 V3.36
15:56:30:  设主板序列号
15:56:35:  TCR调测工具 V3.36
15:56:45:  新建文件夹 (2)
15:56:55:  BTCRTestTool (2) 属性
15:57:00:  TCRControlCmdDLL
15:57:05:  20200304
15:57:30:  V1.003
15:57:35:  TCR调测工具 V3.36
15:57:45:  20200304
15:58:00:  TCR调测工具 V3.36
15:58:10:  20200304
15:58:15:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
15:58:20:  TCRControlCmdDLL
15:58:50:  未命名 - 写邮件
15:59:00:  Progress Telerik Fiddler Web Debugger
15:59:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:59:20:  锁屏状态
15:59:25:  新建文件夹 (2)
15:59:30:  TCR调测工具 V3.36
15:59:55:  设主板序列号
15:58:10:  20200304
15:58:15:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
15:58:20:  TCRControlCmdDLL
15:58:50:  未命名 - 写邮件
15:59:00:  Progress Telerik Fiddler Web Debugger
15:59:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:59:20:  锁屏状态
15:59:25:  新建文件夹 (2)
15:59:30:  TCR调测工具 V3.36
15:59:55:  设主板序列号
16:00:51:  TCR调测工具 V3.36
16:01:06:  另存为
16:01:16:  TCR调测工具 V3.36
16:01:26:  另存为
16:01:51:  设主板序列号
16:02:06:  另存为
16:02:16:  设主板序列号
16:02:31:  TCR调测工具 V3.36
16:02:41:  另存为
16:02:46:  读主板序列号
16:03:01:  TCR调测工具 V3.36
16:03:06:  「开始」菜单
16:03:11:  iTunes
16:05:46:  桌面整理
16:05:56:  新建Microsoft Word 文档.docx - Word
16:06:31:  便签条
16:06:36:  插入图片
16:06:46:  新建Microsoft Word 文档.docx - Word
16:08:16:  新标签页 - Google Chrome
16:08:26:  www.baidu.com - Google Chrome
16:08:36:  新建Microsoft Word 文档.docx - Word
16:08:41:  插入图片
16:08:46:  新建Microsoft Word 文档.docx - Word
16:09:21:  插入图片
16:09:26:  新建Microsoft Word 文档.docx - Word
16:10:16:  插入图片
16:10:26:  新建Microsoft Word 文档.docx - Word
16:10:41:  Progress Telerik Fiddler Web Debugger
16:10:46:  新建Microsoft Word 文档.docx - Word
16:11:11:  插入图片
16:11:16:  新建Microsoft Word 文档.docx - Word
16:11:21:  百度一下，你就知道 - Google Chrome
16:11:26:  百度云_百度搜索 - Google Chrome
16:11:31:  百度网盘-全部文件 - Google Chrome
16:11:46:  下载
16:11:51:  新建Microsoft Word 文档.docx - Word
16:12:16:  下载 (未响应)
16:12:21:  百度网盘-全部文件 - Google Chrome
16:12:26:  百度一下，你就知道 - Google Chrome
16:12:31:  heic是什么格式_百度搜索 - Google Chrome
16:12:46:  https://www.baidu.com/baidu.php?sc.0s0000aPch_Smgbn9p52Wx26ZvN_t7bBRAR3rGs8CSoGbPRdJFzyBRbHd9CWW9BMF4TqMM9FZeM7IZouQSumxaC8DhdmfixkHk1rn4fQR67fym-9L-eZIfRgvlvbe_UjHjbuW24BlKfvs-ER0mro2MbznFZxySK-TsJf2GYEbXexXZCu88jn7jmOT5xCMTyXVynVCyMrfb5-g5070ULMCWjImQXw.DD_iNFxj4TPHQJraEb6ek8sHfGmEukmr8rB1DkSO4Ox3X8aFqKB4h7OgVHC3ZHgnNFxj9tSMjeUn5otrZ1Lmxg3Tr1l3x5u9qx-9qEs3x5Gse5-9q8Hj4qrZu_seen85NdHzlypDPNjwWikgdHzs1FuC5S9QZZ_ozXr1_zurMxdHz_LmLwEC5IDkjwolG4TUrGnyjikgdHzqJIZ0lpeDkgvUqhOGoLvU85udHzqJIZ0lpe7bmoePS1xYdeePLZ_
16:12:51:  heic格式转化jpg_百度搜索 - Google Chrome
16:12:56:  无标题 - Google Chrome
16:13:01:  锁屏状态
16:13:06:  打开
16:13:11:  免费HEIC图片转换 – 在线HEIC转JPG - Google Chrome
16:13:31:  新建Microsoft Word 文档.docx - Word
16:14:01:  锁屏状态
16:14:16:  2020-03-04 160450.JPG - Windows 照片查看器
16:14:21:  新建Microsoft Word 文档.docx - Word
16:15:06:  TCR调测工具 V3.36
16:15:16:  另存为
16:15:21:  新建Microsoft Word 文档.docx - Word
16:15:36:  插入图片
16:15:41:  新建Microsoft Word 文档.docx - Word
16:16:01:  TCR调测工具 V3.36
16:16:06:  桌面整理
16:16:31:  设置产品编号与查询步骤.docx - Word
16:16:36:  桌面整理
16:16:41:  便签条
16:16:46:  设置产品编号与查询步骤 - 写邮件
16:17:41:  设置产品编号与查询步骤 - 写邮件   16:17:39 已保存
16:17:51:  设置产品编号与查询步骤.docx - Word
16:18:21:  设置产品编号与查询步骤 - 写邮件   16:17:39 已保存
16:18:31:  设置产品编号与查询步骤.docx - Word
16:18:36:  设置产品编号与查询步骤 - 写邮件   16:17:39 已保存
16:18:41:  发送邮件
16:18:56:  Progress Telerik Fiddler Web Debugger
16:19:01:  新建文件夹 (3)
16:19:06:  新建文件夹 (2)
16:19:11:  Progress Telerik Fiddler Web Debugger
16:19:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:19:31:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:19:36:  Progress Telerik Fiddler Web Debugger
16:19:41:  *Python 3.7.3 Shell*
16:19:46:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:20:41:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:20:51:  *Python 3.7.3 Shell*
16:21:01:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:21:11:  *Python 3.7.3 Shell*
16:21:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:21:21:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:21:26:  Progress Telerik Fiddler Web Debugger
16:21:36:  *Python 3.7.3 Shell*
16:21:41:  Progress Telerik Fiddler Web Debugger
16:21:46:  Kill?
16:21:51:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:21:56:  新建文件夹 (2)
16:22:01:  config.ini - 记事本
16:22:11:  Progress Telerik Fiddler Web Debugger
16:22:16:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:22:21:  Python 3.7.3 Shell
16:22:26:  *Python 3.7.3 Shell*
16:22:31:  Progress Telerik Fiddler Web Debugger
16:22:36:  *Python 3.7.3 Shell*
16:22:41:  Progress Telerik Fiddler Web Debugger
16:22:56:  锁屏状态
16:23:01:  Progress Telerik Fiddler Web Debugger
16:23:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:23:21:  Progress Telerik Fiddler Web Debugger
16:23:36:  于斌1
16:23:41:  Progress Telerik Fiddler Web Debugger
16:23:51:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:23:56:  Progress Telerik Fiddler Web Debugger
16:24:06:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:24:11:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:24:16:  Progress Telerik Fiddler Web Debugger
16:24:26:  于斌1
16:24:31:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:24:36:  Progress Telerik Fiddler Web Debugger
16:24:51:  于斌1
16:24:56:  Progress Telerik Fiddler Web Debugger
16:25:01:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
16:25:16:  00-06
16:25:21:  12
16:25:31:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
16:25:36:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:25:51:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:26:06:  *Python 3.7.3 Shell*
16:26:21:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:26:41:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:26:46:  *Python 3.7.3 Shell*
16:27:06:  Progress Telerik Fiddler Web Debugger
16:27:11:  *Python 3.7.3 Shell*
16:27:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:27:46:  文档
16:27:51:  Bin
16:27:56:  GTD.pyw - C:\Users\zhangkaifa\Documents\TheActtionRec\Bin\GTD.pyw (3.7.3)
16:28:01:  Bin
16:28:06:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:28:11:  *Python 3.7.3 Shell*
16:28:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:28:21:  Python 3.7.3 Shell
16:28:26:  *Python 3.7.3 Shell*
16:28:31:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:28:41:  *Python 3.7.3 Shell*
16:28:46:  Kill?
16:28:56:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:01:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:29:06:  *Python 3.7.3 Shell*
16:29:11:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:16:  于斌1
16:29:21:  班车管理系统 - Google Chrome
16:29:26:  班车管理系统 [新北洋集团] - Google Chrome
16:29:36:  Bin
16:29:41:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:46:  于斌1
16:29:51:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:29:56:  *Python 3.7.3 Shell*
16:28:06:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:28:11:  *Python 3.7.3 Shell*
16:28:16:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:28:21:  Python 3.7.3 Shell
16:28:26:  *Python 3.7.3 Shell*
16:28:31:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:28:41:  *Python 3.7.3 Shell*
16:28:46:  Kill?
16:28:56:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:01:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:29:06:  *Python 3.7.3 Shell*
16:29:11:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:16:  于斌1
16:29:21:  班车管理系统 - Google Chrome
16:29:26:  班车管理系统 [新北洋集团] - Google Chrome
16:29:36:  Bin
16:29:41:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:29:46:  于斌1
16:29:51:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:29:56:  *Python 3.7.3 Shell*
16:30:18:  Kill?
16:30:23:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:31:03:  Save Before Run or Check
16:31:08:  *Python 3.7.3 Shell*
16:31:13:  Python 3.7.3 Shell
16:31:18:  *Python 3.7.3 Shell*
16:31:23:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:31:38:  *Python 3.7.3 Shell*
16:31:43:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:31:48:  *Python 3.7.3 Shell*
16:32:13:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:32:18:  *Python 3.7.3 Shell*
16:32:23:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:32:28:  Kill?
16:32:33:  *Python 3.7.3 Shell*
16:32:43:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:32:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:33:18:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:33:23:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:33:48:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:33:53:  *Python 3.7.3 Shell*
16:33:58:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:34:03:  Save Before Run or Check
16:34:08:  *Python 3.7.3 Shell*
16:34:13:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:34:28:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:34:53:  Bin
16:34:58:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
16:35:53:  Bin
16:35:58:  跳转列表
16:36:13:  BTCRTestTool V3.36
16:36:28:  压缩文件名和参数
16:36:33:  BTCRTestTool V3.36
16:36:38:  音乐
16:36:48:  BTCRTestTool V3.36
16:36:53:  音乐
16:37:08:  回复: 设置产品编号与查询步骤 - 写邮件
16:38:08:  回复: 设置产品编号与查询步骤 - 写邮件   16:38:03 已保存
16:38:13:  音乐
16:38:18:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:38:43:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:38:48:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:39:08:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:39:13:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:39:18:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:39:28:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:39:33:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:39:38:  *Python 3.7.3 Shell*
16:39:53:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:39:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:40:03:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:40:08:  *Python 3.7.3 Shell*
16:40:18:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:40:38:  Save Before Run or Check
16:40:43:  *Python 3.7.3 Shell*
16:40:48:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:42:43:  于斌1
16:43:08:  新建文件夹 (2)
16:43:13:  config.ini - 记事本
16:43:28:  新建文件夹 (2)
16:43:33:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
16:43:38:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
16:43:43:  *Python 3.7.3 Shell*
16:43:48:  Kill?
16:43:53:  新建文件夹 (2)
16:43:58:  本地磁盘 (E:)
16:44:03:  00-06
16:44:08:  记录
16:44:13:  管理员: C:\Windows\system32\cmd.exe
16:44:23:  文件检测python
16:44:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:44:48:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:44:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:45:03:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:45:08:  于斌1
16:45:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:45:43:  D:\00-06\Thespace\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
16:46:28:  于斌1
16:46:53:  D:\00-06\Thespace\trunk\Applications\Instruction\InstrExecute.c (trunk) - Sublime Text (UNREGISTERED)
16:46:58:  选择文件夹
16:47:03:  untitled (trunk) - Sublime Text (UNREGISTERED)
16:47:08:  D:\00-06\1T1-DRS01DRS02\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
16:47:23:  D:\00-06\1T1-DRS01DRS02\trunk\Middlewares\Nfc\Nfc.c (trunk) - Sublime Text (UNREGISTERED)
16:47:33:  选择文件夹
16:47:43:  untitled (trunk) - Sublime Text (UNREGISTERED)
16:47:48:  F:\00-Tcr\00-Code\FW_BTCR-1100_K06_MAIN\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
16:48:03:  D:\00-06\Thespace\trunk\Applications\Instruction\InstrExecute.c (trunk) - Sublime Text (UNREGISTERED)
16:48:13:  D:\00-06\Thespace\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
16:48:23:  选择文件夹
16:48:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:49:13:  于斌1
16:49:28:  本地磁盘 (F:)
16:49:33:  TCR错误码表-20190718.xlsx  [受保护的视图] - Excel
16:49:38:  5.21 NFC测试V1.0.xls  [受保护的视图] - Excel
16:50:08:  TCR错误码表-20190718.xlsx  [受保护的视图] - Excel
16:50:18:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:50:23:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:52:18:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:53:03:  Windows Installer
16:53:08:  钞箱1T2集成测试方案
16:53:13:  5.21 NFC测试V1.0.xls  [受保护的视图] - Excel
16:53:18:  钞箱1T2集成测试方案
16:53:23:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:53:28:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:53:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:53:43:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
16:53:53:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:54:43:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:54:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:55:03:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:56:28:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
16:56:53:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:57:13:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Nfc\Nfc.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:57:18:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:57:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:08:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:48:  新建文件夹 (2)
16:58:53:  管理员: C:\Windows\system32\cmd.exe
16:59:03:  00-记录
16:59:08:  文件检测python
16:59:13:  管理员: C:\Windows\system32\cmd.exe
16:59:28:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
